小说名,作者,分类,状态,简介
网游之我是武学家,铁牛仙,游戏*虚拟网游,连载中,你是战士，攻高防高？看我反抓摔投，拳拳到肉。你是刺客，身如鬼魅？看我以静制动，一招制敌。你是法师，火力十足？对不起，有没有听说过天下武功，唯快不破？哥不是针对某
都市种子王,七星荔枝肉,都市*都市生活,连载中,来自天外的种植传承，能培育超凡的种子。种田何必乡间农田，养鸡无需山林野地。想在客厅的天花板上采摘葡萄吗？想在床头种一棵冰淇淋果吗？想足不出户，每日收
驭房有术,铁锁,灵异*风水秘术,连载中,进城闯荡的小阿姨衣锦还乡，张禹的老妈心动了，决定让儿子前去投奔。不曾想，所谓的豪宅就是一个三十平米的出租屋，更为要命的是，小阿姨经营的房产中介都快交不上房租了。风水卖房、风水装修……张
山沟皇帝,雨天下雨,历史*架空历史,连载中,主角他爹做了一个梦，以为自己是真命天子，然后一个破道观的道士也是掐指一算，说他是九五之尊，于是乎这个连县城都没去过的地主就在小山沟里称帝建国了。（根据书友反馈，本书节奏超快，三章就称帝
中华武将召唤系统,酸奶酪,军事*战争幻想,连载中,活着其实挺不容易的，这是刘基穿越到了一个类似古代的动乱世界里，最为真实的感受。可是在刘基拥有了一个匪夷所思的中华武将召唤系统之后，刘基突然发现，原来自己不但可以在这个世界活的很好，而且
箭魔,明月夜色,玄幻*东方玄幻,连载中,这是一个属于弓箭手的传奇，不朽王座史上唯一的弓箭手意外陨落，降临九州，开启一条前所未有的箭道之路。世人眼中箭为小技，难成大道？我不信！我的箭可破日月铸通天之路，因为我就是箭魔！
重生欧美当大师,摇摇-欲坠,历史*架空历史,连载中,他是一个历史研究大师，他是一个音乐创作大师，他是一个电影先锋大师，他还是一个公认的发明家，他还是公认的国际关系研究学家，但是在他自己的心
1984之狂潮,再次等候,都市*都市生活,连载中,前世为白手起家的商界大鳄。重生后，对个人财富和享受，少了许多追求动力。只想弥补自己亲情、感情、知识等等遗憾。却突然发觉自己处在神州大时代狂潮。面对一
超凡世界,资产暴增,玄幻*东方玄幻,连载中,地球少年江云卷入了一个神秘的超凡世界之中，获得了超凡之力，并且开始在地球以及一个个超凡世界，开启了自己追逐巅峰的超凡旅程。VIP群：262012178。全订阅可入，要验证。
梦幻西游大主播,懵比的小提莫,游戏*游戏主播,连载中,叶健是一位普通的梦幻西游玩家，在穿越后，他发现原本的将军令竟然变成了一个神奇的U盘！打书炼妖、资源鉴定，这些搏几率的玩意，担架还是逆袭统统由他说了算！晚秋、半夏、冥想…这些
异世之召唤文臣猛将,酒池醉,玄幻*王朝争霸,连载中,存在于历史长河里的英魂从未熄灭，一个能摘星拿月、颠倒乾坤的武道大世界。穿越异世将华夏历史中的英魂们呼唤出世，力拔山兮楚霸王、神力盖天李元霸、天下无双吕奉先、多智近妖诸葛亮......
神级巫医在都市,五志,仙侠*现代修真,连载中,身怀巫医传承系统，拥有惊世医术，人鬼妖神个个能医！“定神香，能宁心安神，增强记忆力和思维活力，一盒一万绝不打折！”“养容丹，能让青春常驻，美肤养颜，十万块钱一颗，限量供应欲
重生之俗人一枚,瞎半身,都市*都市生活,连载中,这个世界上，没有什么是金钱解决不了的。一百万不行，那就一千万。一千万不行，那就一个亿。一个亿不行，那就再加一个亿，做了他！俗人社会，俗人当道，金钱为
一切从贞子开始,黄泉落日,科幻*时空穿梭,连载中,那一年，J还游荡在街头，没有和K探员迎来宿命的相遇……那一年，草薙京还没躺在冰冷的研究所里，依旧热血的迎接着一次次的挑战……那一年，托尼斯塔克依旧浪迹在花丛当中，没有穿上属
公子千秋,府天,历史*架空历史,连载中,一场劫火之后，越千秋被草根出身，子孙满堂的越老太爷抱回了家。这个天下有世家，也有自以为清高正确的书生。这个天下有江湖，也有不甘仰朝廷鼻息的门派。儒以文乱法，侠以
我是杀毒软件,懒鸟,玄幻*高武世界,连载中,我游走在黑暗与光明之间，杀戮是我的挚友，邪恶是我的仆从，白骨累累化作我的权杖，鲜血殷殷染红我的披风，阴冷双翼所过之处，死亡的哭号必将震天动地！我是死神。同时也是一个杀毒软件
英雄联盟：领袖之勋,爱开大差,游戏*电子竞技,连载中,这是一个传奇选手的故事。从外援做起，重回职业巅峰。
三国之熙皇,名武,历史*秦汉三国,连载中,我为袁绍二子，袁熙。醒掌天下权，醉卧美人膝，英雄无悔，枭雄无泪，乱世之中，唯有兵戈才能赢得尊严，唯有冷血才能取得胜利，这天下只能有一个声音。“关羽，降还是不降”
厉害了我的原始人,竹刺无锋,玄幻*东方玄幻,连载中,叶羲醒来，发现自己来到了瑰丽而又凶残的史前世界。石炭纪的巨虫；侏罗纪的恐龙；古近纪的凶兽，竟然共同存在在这片原始大陆上！渺小的人类，只能在这些霸主的夹缝中艰难求存。
英雄监狱,黄华溢,游戏*虚拟网游,连载中,有些人注定要相聚，哪怕一个在天堂，一个在地狱。玫瑰监狱，现实世界第一监狱！这里关押着全球最顶尖的罪犯，商界精英、政界巨头、超级黑客、甚至是核武器专家都能在这里找到，带领这样一群人进入虚拟世界，
末世之深渊召唤师,凉心未暖,科幻*末世危机,连载中,深渊。这是这片土地的名字。无限层面的无底深渊。这里是无穷无尽，令人窒息的恐怖之地。这里是环境极其恶劣，生命极其危险之地。这里是毫无道德伦理，永不停歇的杀戮之地。这里是从没友
龙组兵王,尘风,军事*谍战特工,完本,【超级火爆】大英有军情处六处，M国有CIA，而夏国则有龙组，他们被誉为是东方的神秘力量。一个被淘汰录取的尖兵再次出现在龙组的名单上时，没有人注意到，这个不起眼的家伙才是整个龙组最难对付
黑暗大纪元,妖仙公子,科幻*末世危机,连载中,末日降临，拉开了一场地球人类黑暗血腥的进化纪元。这一世，秦天戈发誓要做那星空百族最强者！一个个恐怖的人类禁区，人类踏入必死？开玩笑，这一世看我踏平那些禁区，改造成人类的后花
随身带着星际争霸,暴兵对A,科幻*未来世界,连载中,一觉醒来，唐方穿越到253年后的星河时代，成为一名前线炮灰士兵。他发现自己竟然随身带着一款即时战略游戏《星际争霸2》的三族基地。更让他欣喜若狂的是，他能够召唤游戏空间里建造
绿洲中的领主,济府老赵,游戏*游戏异界,连载中,成袋的盐、香料还有糖从商店里一直堆到街上，满载的商人们赶着马车来来往往。空气中弥漫着各式香料糅合而成的芬芳。这是绿洲旁的繁华城市，捶打声和织布机声此起彼伏，工匠们的作坊里生意热火朝天。
武侠世界大冒险,五方行尽,游戏*游戏异界,连载中,遍战山河九万里，剑行天涯三千界。一人独行，横断苍穹，问苍生孰为敌手？……V群：296442876，进群需截图验证。普通群：289950291。
海贼之最强附身,无敌青衣,二次元*衍生同人,完本,穿越海贼世界，居然成为了罗杰的弟弟。无法想象五十多岁的罗杰，居然还会有一个十几岁的弟弟。但是哥哥成为海贼王，弟弟却毫无才能。好在十六岁的时候，他居然发现自己身上
美漫世界霸王轨迹,驿路羁旅,奇幻*另类幻想,连载中,在混乱哥谭的黑暗迷雾中，他是带来鲜血的赤红魔鬼，他罪恶！在彷徨迷茫的变种人社会里，他是异军突起的第三领袖，他执拗！在盾与蛇的无尽纠缠中，他是影响战争的冷酷利剑，他坚定！
席卷天下,荣誉与忠诚,历史*两晋隋唐,连载中,东汉末年诸侯混战，多少英雄故事不过是为了争权夺利互相攻伐，他们或许只看见站在高处手握生杀的权利，却不见耗尽了民族的精血。随着司马氏篡夺天下，八王之乱为胡人打开了南下的大门，中原大地迎来
二次元之真理之门,明镜依非台,二次元*衍生同人,连载中,穿越二次元，身附真理之门，穿梭无尽世界，目标成就至高神！！陈安夏一觉醒来却发现世界已经变了，自己重生到了二次元的世界，在灵魂深处还有一道门“什么，竟然是真理之门！？”
超品巫师,九灯和善,都市*都市生活,连载中,十几年前，一个叫《爸爸在这儿》的节目几位父亲带着萌萌哒的小女孩走进了一个偏僻的小山村而一位山村小道士混入了其中。 十几年后，一个在道观长大却得到巫师传承的青年带着一条老黄狗
尊上,九哼,玄幻*东方玄幻,连载中,上古终结之时，诸天浩劫降临，天道开始审判世间一切罪恶威震三千大世界的一代传奇霸主古清风，因其一身罪恶，遭天道审判当古清风在自己的陵园苏醒，他名字早已成为上古时代那些传奇故事
无限十万年,无量摩诃,科幻*时空穿梭,连载中,当轮回空间降临现实，人类历史进入新的纪元。十万年后的学校教授的不再是数理化，而是各种生存战斗知识，高考将决定你的人生前途。叶青从轮回空间降临前夕穿越到十万年后，面对陌生的时
重生九二之商业大亨,落梅河,都市*都市生活,连载中,这是一个令人发指的故事，这是一个令人发指的人。不说他其它的成就，大学刚毕业，他在纳斯达克，就已经有了两家上市公司，不对，他最近又收购了一家上市公司，哦，还在计划收购另一家。
穿梭诸天,大日浴东海,玄幻*东方玄幻,连载中,穿梭诸天我为王，君临万界我称尊！剑圣、无名、独孤求败、西门吹雪，四剑无双，布下了诛仙剑阵！张三丰运转阴阳之妙，封印了仙庭！包黑子祭出了三口铡刀，铡掉了祖龙
进化之路,牛笔,二次元*原生幻想,连载中,在这个世界，人类在进化，动物在进化，植物也在进化。站在进化金字塔顶端的人，被称为神。走到进化顶点的动物植物，被称为妖。某个平行次元的2012年，古
我本港岛电影人,再来一盘菇凉,都市*都市生活,连载中,一个关于港岛电影的故事。我是吴孝祖，拍出最好的电影，享受最美好的时光。菇凉的电影院群号：36744687
